UG;title
1;Präsidentschaftskanzlei
2;Bundesgesetzgebung
3;Verfassungsgerichtshof
4;Verwaltungsgerichtshof
5;Volksanwaltschaft
6;Rechnungshof
10;Bundeskanzleramt
11;Inneres
12;Äußeres
13;Justiz
14;Militärische Angelegenheiten
15;Finanzverwaltung
16;Öffentliche Abgaben
17;Öffentlicher Dienst und Sport
18;Fremdenwesen
20;Arbeit
21;Soziales und Konsumentenschutz
22;Pensionsversicherung
23;Pensionen - Beamtinnen und Beamte
24;Gesundheit
25;Familie und Jugend
30;Bildung
31;Wissenschaft und Forschung
32;Kunst und Kultur
33;Wirtschaft (Forschung)
34;Innovation und Technologie (Forschung)
40;Wirtschaft
41;Mobilität
42;Land- und Forstwirtschaft, Regionen und Wasserwirtschaft
43;Klima, Umwelt und Energie
44;Finanzausgleich
45;Bundesvermögen
46;Finanzmarktstabilität
51;Kassenverwaltung
58;Finanzierungen, Währungstauschverträge
